t,x,err
54282,0.00031219,0.00109343
54283,0.00038611,0.00066803
54284,0.00001784,0.00064275
54285,-0.00045553,0.00069735
54286,0.00035689,0.00077279
54287,0.00344628,0.00247185
54288,-0.00217372,0.00082559
54289,-0.00038591,0.00070332
54290,-0.00014891,0.00084965
54291,-0.00110509,0.00107253
54292,-0.00166727,0.00356866
54293,0.00027785,0.00078634
54294,0.00214833,0.00084962
54295,0.00070539,0.00149707
54296,0.00140162,0.00150680
54297,0.00167976,0.00095545
54298,0.00153988,0.00163787
54299,0.00091294,0.00163695
54300,0.00074280,0.00247836
54301,-0.00009201,0.00087358
54302,0.00015723,0.00102834
54303,0.00100654,0.00136185
54304,-0.00072455,0.00131396
54305,-0.00033734,0.00133763
54306,0.00268140,0.00133350
54307,-0.00115199,0.00156252
54308,-0.00241997,0.00450087
54309,-0.00119130,0.00324534
54312,0.00244423,0.00409876
54313,0.00256755,0.00131825
54315,0.00110638,0.00155041
54316,0.00127357,0.00221730
54317,-0.00041612,0.00112092
54318,0.00037474,0.00116296
54319,0.00193390,0.00199658
54320,0.00197718,0.00262813
54321,-0.00094712,0.00114541
54322,0.00267944,0.00091173
54354,0.00099956,0.00261866
54355,-0.00232029,0.00231251
54356,-0.01009441,0.00770723
54358,0.00011166,0.00127259
54359,-0.00083781,0.00141467
54360,0.00125181,0.00274375
54362,0.00175524,0.00160281
54363,-0.00010285,0.00126244
54364,-0.00129017,0.00121483
54365,0.00097932,0.00086762
54368,0.00182147,0.00109763
54369,0.00144408,0.00117029
54372,0.00179967,0.00249579
54374,-0.00020803,0.00341194
54375,-0.00117491,0.00157588
54376,-0.00016067,0.00102448
54377,-0.00080018,0.00052283
54378,-0.00078201,0.00108388
54379,0.00037436,0.00112958
54380,0.00056872,0.00065587
54382,0.00059598,0.00068115
54383,-0.00017788,0.00090981
54384,0.00182413,0.00097538
54385,0.00037439,0.00088138
54387,0.00197275,0.00058105
54388,0.00178536,0.00065908
54389,0.00121620,0.00060648
54390,0.00055616,0.00069064
54391,-0.00052089,0.00069888
54392,0.00102148,0.00072788
54393,0.00170518,0.00074970
54394,0.00013616,0.00072388
54395,0.00036337,0.00061540
54396,0.00100198,0.00071558
54397,0.00130810,0.00052797
54398,0.00203217,0.00050888
54399,0.00063454,0.00076681
54400,0.00035329,0.00097472
54401,0.00194948,0.00101654
54402,0.00140547,0.00097643
54403,0.00223328,0.00134270
54404,0.00099986,0.00119259
54405,0.00172060,0.00094128
54406,0.00127247,0.00094421
54407,0.00081281,0.00091733
54408,-0.00004883,0.00246025
54409,0.00282465,0.00248530
54410,0.00084171,0.00102081
54411,0.00246166,0.00105638
54412,0.00243755,0.00129350
54413,0.00146264,0.00141608
54414,0.00062948,0.00266239
54415,0.00260499,0.00128514
54416,0.00205674,0.00133104
54417,0.00208583,0.00105894
54418,0.00205399,0.00135064
54419,0.00031058,0.00115743
54420,-0.00014438,0.00131500
54421,0.00066211,0.00091994
54422,0.00085107,0.00088932
54423,0.00115908,0.00070725
54424,-0.00207039,0.00164417
54425,-0.00037255,0.00103977
54426,0.00160506,0.00117775
54427,0.00014529,0.00123133
54428,0.00134546,0.00060989
54429,0.00156076,0.00073997
54430,0.00035401,0.00092803
54432,0.00358933,0.00369110
54434,0.00066078,0.00129361
54435,0.00135136,0.00110996
54436,0.00170798,0.00111594
54437,0.00199452,0.00111224
54438,0.00149979,0.00102328
54439,0.00155618,0.00111124
54440,0.00217169,0.00166408
54441,-0.00014941,0.00095842
54442,0.00308002,0.00236299
54443,0.00294190,0.00130536
54444,-0.00037771,0.00175532
54445,0.00216711,0.00155536
54446,0.00158184,0.00151275
54447,-0.00623737,0.00928701
54448,0.00079437,0.00209884
54449,0.00141667,0.00245569
54450,0.00120374,0.00142001
54451,-0.00214218,0.00203079
54453,0.00065869,0.00204274
54454,-0.00520118,0.00830204
54455,0.00166875,0.00164943
54459,0.00251731,0.00390760
54460,0.01019909,0.00530359
54461,0.00546878,0.00312527
54463,-0.00065434,0.00101810
54464,0.00303833,0.00343917
54465,0.00973301,0.00580900
54467,0.01127577,0.01420930
54469,-0.00211890,0.00117265
54470,0.00047634,0.00084111
54471,0.00107119,0.00086542
54472,-0.00001263,0.00095677
54473,0.00117763,0.00067548
54474,0.00014119,0.00084546
54475,0.00039405,0.00065216
54476,-0.00157111,0.00064667
54477,-0.00016004,0.00059962
54478,0.00096659,0.00058117
54479,0.00074316,0.00064590
54480,0.00007264,0.00121341
54481,0.00141257,0.00054916
54482,0.00064147,0.00069430
54483,0.00113735,0.00064696
54484,0.00090696,0.00069229
54485,0.00178113,0.00063727
54486,0.00090358,0.00062161
54487,0.00121923,0.00193182
54488,0.00166184,0.00101115
54489,0.00034895,0.00058163
54490,0.00039597,0.00062822
54491,-0.00003230,0.00068672
54492,0.00041266,0.00066358
54493,-0.00006723,0.00081984
54494,0.00219887,0.00151603
54495,0.00096290,0.00127511
54496,0.00011041,0.00164544
54497,0.00038961,0.00094973
54498,0.00183761,0.00152310
54499,0.00018277,0.00093093
54500,0.00224349,0.00122041
54501,0.00302501,0.00139994
54502,0.00179934,0.00146912
54503,0.00525739,0.00481284
54504,0.00440787,0.00231607
54505,0.00251977,0.00101136
54506,0.00278668,0.00117934
54507,0.00118608,0.00105075
54508,0.00323852,0.00113129
54509,0.00114823,0.00082816
54510,0.00105998,0.00117449
