t,x,error
57566.6562,0.000312290271,7.61714473E-05
57573.6562,0.000185937795,1.06128529E-04
57580.6562,0.000202452124,5.46829469E-05
57587.6562,0.000198174763,5.66593662E-05
57594.6562,0.000345624518,8.67962517E-05
57601.6562,3.48547546E-05,8.46086914E-05
57608.6562,0.000345998676,8.17574837E-05
57615.6562,0.000184940291,6.35649340E-05
57622.6562,0.000158861265,4.68843318E-05
57629.6562,0.000117824195,3.54851145E-05
57636.6562,0.000186890597,6.07166949E-05
57643.6562,4.1260515E-05,1.42903991E-05
57650.6562,0.000129307344,1.16316420E-04
57657.6562,6.02205619E-05,2.26752672E-05
57664.6562,0.00011345034,6.96672141E-05
57671.6562,4.71175372E-05,5.16660766E-05
57678.6562,0.000270273798,7.35157810E-05
57685.6562,0.000199822112,5.72598838E-05
57692.6562,3.64949665E-05,1.58917028E-05
57699.6562,0.00031611108,6.80440498E-05
57706.6562,0.000325147703,7.53019485E-05
57713.6562,0.000124535407,3.44894834E-05
57720.6562,0.000165029298,2.84448652E-05
57727.6562,0.00015946955,4.03953709E-05
57734.6562,0.000154928697,8.78084029E-05
57741.6562,0.000180361007,4.38516909E-05
57748.6562,0.00041039483,9.01027233E-05
57755.6562,0.000508284487,9.19893937E-05
57762.6562,0.000261062378,6.44373722E-05
57769.6562,0.000341827457,7.50579275E-05
57776.6562,0.000284259761,6.99265584E-05
57783.6562,0.00035438023,6.23050946E-05
57790.6562,0.000189837039,5.24970201E-05
57797.6562,0.000614818477,1.45670070E-04
57804.6562,0.000354299205,7.41375770E-05
57811.6562,0.00014291679,2.93709199E-05
57818.6562,0.00024819214,2.46028154E-04
57825.6562,0.00018275989,4.02618643E-05
57832.6562,0.000226743519,4.75199304E-05
57839.6562,0.000185695055,4.56793205E-05
57846.6562,0.000210415368,3.17436788E-05
57853.6562,0.00041268341,5.50193181E-05
57860.6562,0.000356068893,7.43667115E-05
57867.6562,0.000250013167,6.64416511E-05
57874.6562,0.000214257365,6.07468246E-05
57881.6562,0.00015764116,2.59968889E-04
57888.6562,0.000224813892,5.45651710E-05
57895.6562,0.000225614203,1.12362985E-04
57902.6562,0.000160034106,5.15284446E-05
57909.6562,0.000213137042,5.53096506E-05
57916.6562,0.000241443224,5.10909085E-05
57923.6562,7.43181226E-05,2.05009110E-05
57930.6562,9.4017676E-05,4.62587377E-05
57937.6562,8.44874085E-05,3.30071707E-05
57944.6562,0.000278307678,9.16099161E-05
57951.6562,0.000168021521,3.73327421E-05
57958.6562,0.000211994135,6.00449603E-05
57965.6562,9.25555069E-05,3.85270432E-05
57972.6562,0.0001810299,,5.90565833E-05
57979.6562,0.000127334293,5.00647257E-05
57986.6562,0.00034582481,8.61777153E-05
57993.6562,0.000212961691,5.44634349E-05
58000.6562,0.000267373456,6.94116025E-05
58007.6562,0.000234622232,7.31660475E-05
58014.6562,0.000313774915,8.32953883E-05
58021.6562,0.000231472106,5.94307021E-05
58028.6562,0.000253972539,5.02901457E-05
58035.6562,0.000127629814,4.31848239E-05
58042.6562,0.000212938947,5.85068083E-05
58049.6562,0.00027705566,7.95093001E-05
58056.6562,0.000221203823,5.01120812E-05
58063.6562,0.000184992212,4.65627345E-05
58070.6562,0.000181491137,4.58415416E-05
58077.6562,0.000420730212,8.29208730E-05
58084.6562,0.000356943347,5.66422968E-05
58091.6562,0.000105802741,2.33067713E-05
58098.6562,0.000407483312,8.62634843E-05
58105.6562,0.000511961989,1.29407010E-04
58112.6562,0.000313458382,5.55011720E-05
58119.6562,0.000320046733,6.80306403E-05
58126.6562,0.000556082698,6.31852017E-05
58133.6562,0.000457401795,9.67706437E-05
58140.6562,0.000492113293,8.60996661E-05
58147.6562,0.00104350096,5.62586414E-04
58154.6562,0.000706120802,1.04090919E-04
58161.6562,0.000998737523,1.04159837E-04
58168.6562,0.000617384503,1.05350664E-04
58175.6562,0.000348773348,8.37783227E-05
58182.6562,0.000511685037,9.68746026E-05
58189.6562,0.000606396061,2.90349475E-04
58217.6562,4.65816775E-05,9.37203877E-05
58224.6562,0.000206808443,8.63039633E-04
58231.6562,0.000327181449,2.01201517E-04
58238.6562,0.000246800948,4.41112497E-05
58245.6562,0.000296302926,4.87703473E-05
58252.6562,0.000103887811,6.09812560E-04
58259.6562,0.000125272432,3.15575380E-05
58266.6562,0.000153785455,3.73381372E-05
58273.6562,0.00021142351,4.94210690E-05
58280.6562,0.00022877747,2.57374428E-04
58287.6562,0.000198857946,4.55739028E-05
58294.6562,0.000135581213,1.47580542E-03
58301.6562,0.000280372682,7.58799288E-05
58308.6562,0.000146971797,2.84071557E-05
58315.6562,4.98415175E-05,1.52689536E-05
58322.6562,0.000155008078,9.53372364E-05
58329.6562,0.000107710628,4.07655280E-05
58336.6562,0.000240372654,4.15136237E-05
58343.6562,5.81718305E-05,2.34403306E-05
58357.6562,0.000254117826,1.63203847E-04
58364.6562,6.65609477E-05,2.41968999E-04
58371.6562,0.000254372135,1.02389160E-04
58378.6562,0.000226534117,4.95363711E-05
58385.6562,0.000177996495,2.68652984E-05
58392.6562,0.000159440402,4.29629727E-05
58413.6562,8.81303131E-05,2.64760747E-05
